;anden kament ven;babst kùng kayser;bapst kayser kùng;bapst won wand;bern eydtgenossen herren;gewalt botten ritter;guot stroszburg cc;johannes sant cardinal;kùng babst kayser;kùnig keyser stat;künig bobest rome;küning sas sancti;lant tusent starp;sant geburt vi;sant land gut;sant land hand;stat wasser vatter;strosburg sant stat;vnnd anno bey;wappen dominus costentz
Albert_Leben_des_hl_Ulrich;0.005577812000000001;3.08166e-05;3.08166e-05;0.00033898310000000004;3.08166e-05;0.038243451500000004;0.0142064715;0.0031124807;0.0015716487000000002;3.08166e-05;3.08166e-05;0.7442526965;0.041633282;0.0034206471000000002;3.08166e-05;3.08166e-05;0.1473343606;3.08166e-05;3.08166e-05;3.08166e-05
Dresden_UB_Mscr_F_98_edited;0.0184107931;0.0021207758;0.0023310740000000003;0.0004869211;1.6177e-06;0.0450377728;0.0105003478;1.77945e-05;0.0026060792;0.48928450100000004;1.6177e-06;9.867840000000001e-05;0.14420143330000001;0.1958538913;1.6177e-06;0.0050649498;0.0830693822;1.6177e-06;0.0009075173;1.6177e-06
Etterlin_Chronik;0.000934042;0.0015289731000000001;1.9831e-06;1.9831e-06;0.5224705509;0.10229048510000001;1.9831e-06;0.0223713957;1.9831e-06;1.9831e-06;0.0017471146000000001;0.0003589418;0.0048209257;0.0019454250000000002;0.3149783842;0.0016479594;0.0178697497;0.0050985603;0.0012910007;0.0006365764
Freiburg_UB_Hs__471_edited;0.0215544152;0.0029527475;0.0180051315;0.0009642934;2.35194e-05;0.0584156511;0.0040645713;0.0037866154000000003;0.5219606585000001;0.0008787684000000001;0.0014988240000000002;0.0001090443;0.0082766731;0.0805879838;8.7663e-05;0.12820397690000002;0.1477036562;0.0009215309;2.1381e-06;2.1381e-06
Heidelberg_UB_Cpg_116_edited;0.0196745334;0.0102653093;7.712500000000001e-06;7.712500000000001e-06;7.712500000000001e-06;0.0617075428;7.712500000000001e-06;0.0034783279;7.712500000000001e-06;0.0047894493;7.712500000000001e-06;7.712500000000001e-06;0.010188184500000001;0.0284667592;0.019057535100000002;0.0109594324;0.0258445164;0.0003162116;0.8051133734;8.483730000000001e-05
Heidelberg_UB_cpg_475_edited;0.31120371010000003;0.0017012191000000002;0.006109236200000001;0.4852974264;2.2958e-06;0.0444038846;0.0043414377;2.2958e-06;0.0047776477;0.003652685;2.2958e-06;0.0008517575;0.0046398971;0.0045480635;2.2958e-06;0.03763115;0.0906421471;0.0001859632;2.2958e-06;2.2958e-06
Muenchen_BSB_Cgm_568_edited;0.0253750093;0.4040908978;0.011369685800000001;0.0006604642;3.85582e-05;0.1026530511;0.0030734595;0.0053496356;0.0064690664;0.0010957984;1.2438e-06;1.2438e-06;0.0020286574000000003;0.0322906042;0.0011828652;0.2746473793;0.1285119033;0.00010074880000000001;0.0010584840000000002;1.2438e-06
Oberrheinische_Chronik;0.0085874799;2.67523e-05;2.67523e-05;2.67523e-05;2.67523e-05;0.0481808454;0.0045746388;0.0273140717;0.010727661900000001;2.67523e-05;0.0829588015;0.6460941680000001;0.0572766185;0.0203584805;0.0045746388;0.001364366;0.0588817549;0.0289192081;2.67523e-05;2.67523e-05
Richental_Konzilschronik;0.0014566347;2.384e-06;0.0025294426;2.384e-06;0.0006937491;0.0433676632;0.0001215849;0.290757164;0.0019095981;2.384e-06;2.6224200000000002e-05;2.6224200000000002e-05;2.384e-06;0.0003361465;0.032210461100000004;0.0086802079;0.0104205407;0.0020526391000000002;2.384e-06;0.6053997997
Stuttgart_LB_HB_V_22_edited;0.0288456928;0.0056083212;0.5620880438;1.8442e-06;0.0013850211;0.13252863180000002;0.0020305037;0.0210999023;0.0087804068;0.0030632757;1.8442e-06;1.8442e-06;0.0014219058;0.0372185235;0.0016432141;0.1421371005;0.0521383915;1.8442e-06;1.8442e-06;1.8442e-06
Twinger_Chronik_1_2_3;0.0060151702;1.6036e-06;3.3676e-05;1.6036e-06;1.6036e-06;0.0110826024;0.0008034125;0.006656617300000001;0.0001459292;1.6036e-06;0.5539553232000001;0.0025673920000000004;0.203083757;1.6036e-06;0.0056142658000000005;0.000851521;0.1170175917;0.0921615164;1.6036e-06;1.6036e-06
Twinger_Chronik_4_5_6;0.0056821409;2.1846000000000002e-06;6.77226e-05;2.1846000000000002e-06;0.0001769525;0.0185057346;0.0011600218;0.0045461496;2.1846000000000002e-06;4.58766e-05;0.10366138720000001;0.0012474058;0.2210835609;0.0005920262;0.0182872747;2.1846000000000002e-06;0.053393773900000004;0.5706193337000001;0.00028618240000000003;0.0006357182
Wolfenbuttel_HAB_Cod_16_17_edited;0.030220569000000003;0.00039806840000000004;6.5257e-06;0.0019642391;6.5257e-06;0.027675541600000002;0.508816236;6.5257e-06;0.014624119000000001;0.0139715479;0.0035956669000000003;0.0024210389000000002;0.1321521796;0.11792612890000001;6.5257e-06;0.0075763508;0.1278452101;0.0107739494;6.5257e-06;6.5257e-06
