;lant tusent starp;anden kament ven;küning sas sancti;wappen dominus costentz;stat wasser vatter;künig bobest rome;guot stroszburg cc;bapst kayser kùng;bapst won wand;strosburg sant stat;kùng babst kayser;sant land hand;johannes sant cardinal;kùnig keyser stat;vnnd anno bey;babst kùng kayser;sant land gut;sant geburt vi;gewalt botten ritter;bern eydtgenossen herren
anden kament ven;0.1015194268;1.0;0.0321975087;0.0046307577;0.41243500110000003;0.0264401595;0.1069650225;0.1055878658;0.9818455849000001;0.0243194246;0.0829764719;0.244077492;0.0177864937;0.0695372601;0.062216406700000004;0.0878379458;0.0096569646;0.1636910617;0.3356031975;0.0032160972000000003
babst kùng kayser;0.0090274315;0.0878379458;0.0001112095;1.56065e-05;0.38850782370000003;5.41148e-05;0.0072777778;0.0343647579;0.0055925122;0.00026179700000000003;0.0200014584;0.8239048313;0.019887168900000002;0.0078883672;0.0267174393;1.0;0.009066756300000001;0.1411557894;0.4506084508;0.0038932256
bapst kayser kùng;0.006620727000000001;0.1055878658;8.82386e-05;0.0044998903;0.1791059533;0.0001748892;0.0045550452;1.0;0.0109592308;0.00020793810000000002;0.049160651400000005;0.4510772987;0.0769805777;0.0105785923;4.7423600000000004e-05;0.0343647579;0.0057191971;0.16521319480000002;0.5764521519;0.0026613254
bapst won wand;0.0146981572;0.9818455849000001;0.0014380938000000002;8.81e-06;0.2703736319;4.69221e-05;0.0126352372;0.0109592308;1.0;0.0004078032;0.0112687529;0.11353689580000001;7.663840000000001e-05;0.00858667;2.1738600000000002e-05;0.0055925122;1.96245e-05;0.021728877;0.1883750867;8.786400000000001e-06
bern eydtgenossen herren;0.0134278418;0.0032160972000000003;0.00044281560000000004;0.0023796801;0.0532121752;0.0031392709000000003;3.10517e-05;0.0026613254;8.786400000000001e-06;0.009149781800000001;0.0001007292;0.0061157121;0.07764265740000001;2.45582e-05;0.0016184865;0.0038932256;0.9912561848;0.0082213483;0.43146282;1.0
gewalt botten ritter;0.2649079998;0.3356031975;0.2548453475;0.1827501393;0.6761338723;0.0916046583;0.1350312471;0.5764521519;0.1883750867;0.1014161189;0.2710679874;0.7213423802000001;0.28976378010000003;0.2012419821;0.2607034139;0.4506084508;0.4726068546;0.47624259950000003;1.0;0.43146282
guot stroszburg cc;0.3765757957;0.1069650225;0.029429939800000002;0.00025391030000000003;0.4044449302;0.0095871442;1.0;0.0045550452;0.0126352372;0.0215631231;0.036539736600000004;0.0333848711;0.0019607804;0.0492495549;5.6666500000000004e-05;0.0072777778;0.000385925;0.4929334671;0.1350312471;3.10517e-05
johannes sant cardinal;0.0397556061;0.0177864937;0.0690623786;0.9895000293;0.0897562471;0.0386914946;0.0019607804;0.0769805777;7.663840000000001e-05;0.02770945;0.0198707547;0.07663104800000001;1.0;0.0007025795;0.0119943718;0.019887168900000002;0.1795062936;0.028284550800000002;0.28976378010000003;0.07764265740000001
kùng babst kayser;0.0386792869;0.0829764719;0.0159216386;0.0036602892000000002;0.4610957726;0.0060687059000000005;0.036539736600000004;0.049160651400000005;0.0112687529;0.0032043488;1.0;0.3988213883;0.0198707547;0.007780970900000001;4.0426600000000004e-05;0.0200014584;0.0010854026;0.3453070861;0.2710679874;0.0001007292
kùnig keyser stat;0.4051308717;0.0695372601;0.0002604093;9.386000000000001e-06;0.2606107216;0.00021610920000000001;0.0492495549;0.0105785923;0.00858667;0.000640694;0.007780970900000001;0.021942325500000002;0.0007025795;1.0;0.0109135671;0.0078883672;0.0006443427;0.7998617352;0.2012419821;2.45582e-05
künig bobest rome;0.6755300988;0.0264401595;0.09828780990000001;0.00024943620000000003;0.3926513538;1.0;0.0095871442;0.0001748892;4.69221e-05;0.3416247365;0.0060687059000000005;0.0042072546;0.0386914946;0.00021610920000000001;8.99811e-05;5.41148e-05;0.032791550600000004;0.0161576358;0.0916046583;0.0031392709000000003
küning sas sancti;0.1918864439;0.0321975087;1.0;9.57656e-05;0.44363041670000003;0.09828780990000001;0.029429939800000002;8.82386e-05;0.0014380938000000002;0.0345022835;0.0159216386;0.0029269423;0.0690623786;0.0002604093;5.9688e-05;0.0001112095;0.009992422800000001;0.0650384344;0.2548453475;0.00044281560000000004
lant tusent starp;1.0;0.1015194268;0.1918864439;0.0006787009;0.6144674311;0.6755300988;0.3765757957;0.006620727000000001;0.0146981572;0.6993969547000001;0.0386792869;0.0332459377;0.0397556061;0.4051308717;0.0285736548;0.0090274315;0.0616831157;0.5076508230000001;0.2649079998;0.0134278418
sant geburt vi;0.5076508230000001;0.1636910617;0.0650384344;0.0013851736;0.6158045418;0.0161576358;0.4929334671;0.16521319480000002;0.021728877;0.0158700475;0.3453070861;0.3190514307;0.028284550800000002;0.7998617352;0.1149880362;0.1411557894;0.017346857900000002;1.0;0.47624259950000003;0.0082213483
sant land gut;0.0616831157;0.0096569646;0.009992422800000001;0.1024629334;0.0798306819;0.032791550600000004;0.000385925;0.0057191971;1.96245e-05;0.0693766888;0.0010854026;0.0148176386;0.1795062936;0.0006443427;0.061580445600000006;0.009066756300000001;1.0;0.017346857900000002;0.4726068546;0.9912561848
sant land hand;0.0332459377;0.244077492;0.0029269423;0.0257493578;0.5851886057;0.0042072546;0.0333848711;0.4510772987;0.11353689580000001;0.0019645387000000003;0.3988213883;1.0;0.07663104800000001;0.021942325500000002;0.0335896507;0.8239048313;0.0148176386;0.3190514307;0.7213423802000001;0.0061157121
stat wasser vatter;0.6144674311;0.41243500110000003;0.44363041670000003;0.0309553485;1.0;0.3926513538;0.4044449302;0.1791059533;0.2703736319;0.2269998699;0.4610957726;0.5851886057;0.0897562471;0.2606107216;0.07704549470000001;0.38850782370000003;0.0798306819;0.6158045418;0.6761338723;0.0532121752
strosburg sant stat;0.6993969547000001;0.0243194246;0.0345022835;0.0045932731;0.2269998699;0.3416247365;0.0215631231;0.00020793810000000002;0.0004078032;1.0;0.0032043488;0.0019645387000000003;0.02770945;0.000640694;0.0009131539000000001;0.00026179700000000003;0.0693766888;0.0158700475;0.1014161189;0.009149781800000001
vnnd anno bey;0.0285736548;0.062216406700000004;5.9688e-05;0.0001451634;0.07704549470000001;8.99811e-05;5.6666500000000004e-05;4.7423600000000004e-05;2.1738600000000002e-05;0.0009131539000000001;4.0426600000000004e-05;0.0335896507;0.0119943718;0.0109135671;1.0;0.0267174393;0.061580445600000006;0.1149880362;0.2607034139;0.0016184865
wappen dominus costentz;0.0006787009;0.0046307577;9.57656e-05;1.0;0.0309553485;0.00024943620000000003;0.00025391030000000003;0.0044998903;8.81e-06;0.0045932731;0.0036602892000000002;0.0257493578;0.9895000293;9.386000000000001e-06;0.0001451634;1.56065e-05;0.1024629334;0.0013851736;0.1827501393;0.0023796801
